ensg	entrezID	symbol	hgnc_symbol	OMIM	uniprotID	DrugBank
ENSG00000267630	NA	AC005758.1	NA	NA	NA	NA
ENSG00000266906	NA	AC005357.1	NA	NA	NA	NA
ENSG00000266928	NA	CTB-70G10.1	NA	NA	NA	NA
ENSG00000267320	NA	AC005780.1	NA	NA	NA	NA
ENSG00000267238	NA	AC093074.1	NA	NA	NA	NA
ENSG00000260725	NA	AC005307.1	NA	NA	NA	NA
ENSG00000267243	NA	AC005307.3	NA	NA	NA	NA
ENSG00000266893	101927210	AC005616.1	NA	NA	NA	NA
ENSG00000267423	NA	AC005616.2	NA	NA	NA	NA
ENSG00000267537	NA	AC005394.1	NA	NA	NA	NA
ENSG00000266976	NA	AC079466.1	NA	NA	NA	NA
ENSG00000267799	NA	CTC-478M6.1	NA	NA	NA	NA
ENSG00000267617	NA	AC007795.1	NA	NA	NA	NA
ENSG00000267528	NA	AC011524.1	NA	NA	NA	NA
ENSG00000267683	NA	AC008991.1	NA	NA	NA	NA
ENSG00000238514	NA	snoU13	NA	NA	NA	NA
ENSG00000267027	NA	AC011524.2	NA	NA	NA	NA
ENSG00000267240	NA	AC011524.3	NA	NA	NA	NA
ENSG00000267339	148145	LINC00906	LINC00906	NA	NA	NA
ENSG00000252272	NA	RNA5SP470	RNA5SP470	NA	NA	NA
ENSG00000267014	100505835	CTD-2081K17.2	NA	NA	NA	NA
ENSG00000169021	7386	UQCRFS1	UQCRFS1	191327	P47985	DB04141:DB04799:DB07401:DB07636:DB07763:DB07778:DB08330:DB08453:DB08690
ENSG00000267498	NA	CTB-32O4.2	NA	NA	NA	NA
ENSG00000241604	NA	RN7SL340P	RN7SL340P	NA	NA	NA
ENSG00000264515	284395	CTC-525D6.1	NA	NA	NA	NA
ENSG00000267574	NA	CTC-525D6.5	NA	NA	NA	NA
ENSG00000266248	NA	CTC-525D6.2	NA	NA	NA	NA
ENSG00000187135	342865	VSTM2B	VSTM2B	NA	A6NLU5	NA
ENSG00000105171	10775	POP4	POP4	606114	O95707	NA
ENSG00000267258	NA	CTC-448F2.3	NA	NA	NA	NA
ENSG00000105176	8725	URI1	URI1	603494	O94763	NA
ENSG00000242100	NA	RPL9P32	RPL9P32	NA	NA	NA
ENSG00000267006	NA	CTC-448F2.4	NA	NA	NA	NA
ENSG00000267692	NA	TAF9P3	TAF9P3	NA	NA	NA
ENSG00000266910	NA	CTC-448F2.6	NA	NA	NA	NA
ENSG00000267760	NA	CTC-565M22.1	NA	NA	NA	NA
ENSG00000261316	NA	CTC-400I9.1	NA	NA	NA	NA
ENSG00000267378	NA	CTC-400I9.3	NA	NA	NA	NA
ENSG00000268953	NA	AC020952.1	NA	NA	NA	NA
ENSG00000267777	NA	CTC-439O9.3	NA	NA	NA	NA
ENSG00000267407	NA	CTD-2050I18.1	NA	NA	NA	NA
ENSG00000261400	101927277	AC011525.2	NA	NA	NA	NA
ENSG00000267012	NA	CTC-360P9.1	NA	NA	NA	NA
ENSG00000267684	NA	CTC-360P9.2	NA	NA	NA	NA
ENSG00000267204	101927411	AC011518.1	NA	NA	NA	NA
ENSG00000267133	NA	AC011518.2	NA	NA	NA	NA
