# MEAN_SAMPLE_SIZE = 54886
# TOTAL_GENES = 12577
# TEST_DIRECTION = one-sided, positive (set), one-sided, positive (covar)
# CONDITIONED_INTERNAL = gene size, gene density, sample size, inverse mac, log(gene size), log(gene density), log(sample size), log(inverse mac)
# CONDITIONED_HIDDEN = Average (covar)
VARIABLE                               TYPE  NGENES         BETA     BETA_STD           SE            P FULL_NAME
Lung.Endothelial_cells_Vwf_h...       COVAR   12577      0.13314     0.017216     0.087172     0.063356 Lung.Endothelial_cells_Vwf_high
Lung.Eosinophil_granulocyte           COVAR   12577     -0.12481    -0.013184      0.08783      0.92232 Lung.Eosinophil_granulocyte
Lung.Ig.producing_B_cell              COVAR   12577   -0.0020761  -0.00041196     0.043465      0.51905 Lung.Ig.producing_B_cell
Lung.Interstitial_macrophage          COVAR   12577      0.02414    0.0023388      0.13647       0.4298 Lung.Interstitial_macrophage
Lung.Monocyte_progenitor_cell         COVAR   12577   -0.0012834  -0.00024013     0.064495      0.50794 Lung.Monocyte_progenitor_cell
Lung.Neutrophil_granulocyte           COVAR   12577    -0.041775   -0.0049459     0.092951      0.67344 Lung.Neutrophil_granulocyte
Lung.NK_Cell                          COVAR   12577     -0.26606    -0.021518      0.16259       0.9491 Lung.NK_Cell
Lung.Nuocyte                          COVAR   12577     -0.19415    -0.017567      0.12732      0.93634 Lung.Nuocyte
Lung.Plasmacytoid_dendritic_...       COVAR   12577      0.14114     0.012589      0.15905      0.18745 Lung.Plasmacytoid_dendritic_cell
Lung.Stromal_cell_Acta2_high          COVAR   12577   -0.0093886  -0.00094516      0.10702      0.53495 Lung.Stromal_cell_Acta2_high
Lung.Stromal_cell_Dcn_high            COVAR   12577     0.036549     0.004385      0.09797      0.35455 Lung.Stromal_cell_Dcn_high
Lung.Stromal_cell_Inmt_high           COVAR   12577     -0.01679   -0.0018432      0.10705      0.56231 Lung.Stromal_cell_Inmt_high
Lung.T_Cell_Cd8b1_high                COVAR   12577     -0.27147    -0.021823      0.15162       0.9633 Lung.T_Cell_Cd8b1_high
Mammary_Gland.Adiocyte_cell           COVAR   12577     0.019926   0.00099673      0.22372      0.46452 Mammary_Gland.Adiocyte_cell
Mammary_Gland.B_cell_Cd79a_h...       COVAR   12577    -0.096054    -0.009011       0.1235      0.78164 Mammary_Gland.B_cell_Cd79a_high
Mammary_Gland.B_cell_Cd79a.F...       COVAR   12577     -0.25193    -0.023174      0.14099      0.96301 Mammary_Gland.B_cell_Cd79a.Fcer2a_high
Mammary_Gland.B_cell_Cd79a.I...       COVAR   12577    -0.063041   -0.0054219      0.15197      0.66086 Mammary_Gland.B_cell_Cd79a.Iglc2_high
Mammary_Gland.B_cell_Igkv6.1...       COVAR   12577     0.062377    0.0038967      0.16503      0.35273 Mammary_Gland.B_cell_Igkv6.15_high
Mammary_Gland.B_cell_Igkv6.2...       COVAR   12577      -0.1693    -0.012043       0.1315      0.90102 Mammary_Gland.B_cell_Igkv6.23_high
Mammary_Gland.B_cell_Jchain_...       COVAR   12577      0.14173    0.0075102      0.25527      0.28937 Mammary_Gland.B_cell_Jchain_high
Mammary_Gland.B_cell_Ly6d_hi...       COVAR   12577     -0.11689    -0.011428      0.16605      0.75926 Mammary_Gland.B_cell_Ly6d_high
Mammary_Gland.Dendritic_cell          COVAR   12577     0.052709    0.0031479      0.17728      0.38311 Mammary_Gland.Dendritic_cell
Mammary_Gland.Dendritic_cell...1      COVAR   12577     -0.11156    -0.012098      0.10492      0.85617 Mammary_Gland.Dendritic_cell_Ccl22_high
Mammary_Gland.Dendritic_cell...2      COVAR   12577   -0.0062564  -0.00097857     0.087632      0.52846 Mammary_Gland.Dendritic_cell_Cd209a_high
Mammary_Gland.Dendritic_cell...3      COVAR   12577    -0.033361   -0.0040664      0.12254      0.60728 Mammary_Gland.Dendritic_cell_Cst3_high
Mammary_Gland.Dendritic_cell...4      COVAR   12577     -0.16458    -0.019553      0.11452      0.92466 Mammary_Gland.Dendritic_cell_Fscn1_high
Mammary_Gland.Dendritic_cell...5      COVAR   12577     -0.08895    -0.010568     0.089499      0.83984 Mammary_Gland.Dendritic_cell_Il1b_high
