# MEAN_SAMPLE_SIZE = 54886
# TOTAL_GENES = 12577
# TEST_DIRECTION = one-sided, positive (set), one-sided, positive (covar)
# CONDITIONED_INTERNAL = gene size, gene density, sample size, inverse mac, log(gene size), log(gene density), log(sample size), log(inverse mac)
# CONDITIONED_HIDDEN = Average (covar)
VARIABLE                              TYPE  NGENES         BETA     BETA_STD           SE            P FULL_NAME
Placenta.Granulocyte_monocyt...      COVAR   12577      0.12612     0.017737     0.099599      0.10272 Placenta.Granulocyte_monocyte_progenitors
Placenta.Granulocyte_Neat1_h...      COVAR   12577     0.016749     0.002856     0.047394       0.3619 Placenta.Granulocyte_Neat1_high
Placenta.Granulocyte_S100a9_...      COVAR   12577     -0.16936    -0.020466     0.076242      0.98683 Placenta.Granulocyte_S100a9_high
Placenta.HSPC_Lmo2_high              COVAR   12577      0.11369     0.017277      0.11818      0.16804 Placenta.HSPC_Lmo2_high
Placenta.Invasive_spongiotro...      COVAR   12577    0.0071016   0.00082099      0.11318      0.47499 Placenta.Invasive_spongiotrophoblast
Placenta.Labyrinthine_tropho...      COVAR   12577      0.10206     0.016911     0.070172     0.072937 Placenta.Labyrinthine_trophoblast
Placenta.Macrophage_Apoe_high        COVAR   12577      0.15889     0.018033      0.11975     0.092296 Placenta.Macrophage_Apoe_high
Placenta.Macrophage_Spp1_high        COVAR   12577     0.032612    0.0045229     0.098349       0.3701 Placenta.Macrophage_Spp1_high
Placenta.Megakaryocyte_proge...      COVAR   12577    -0.053798   -0.0070676     0.070131      0.77848 Placenta.Megakaryocyte_progenitor_cell
Placenta.Monocyte                    COVAR   12577   -0.0043131  -0.00041388      0.12133      0.51418 Placenta.Monocyte
Placenta.NK_cell                     COVAR   12577      0.15501     0.024904     0.084754     0.033716 Placenta.NK_cell
Placenta.NKT_cell                    COVAR   12577    0.0011205   0.00014918     0.095611      0.49532 Placenta.NKT_cell
Placenta.PE_lineage_cell_Gkn...      COVAR   12577     0.019836    0.0022547      0.10452      0.42474 Placenta.PE_lineage_cell_Gkn2_high
Placenta.PE_lineage_cell_S10...      COVAR   12577      0.22116      0.02193      0.14381     0.062061 Placenta.PE_lineage_cell_S100g_high
Placenta.Progenitor_trophobl...      COVAR   12577      0.07109     0.010576      0.13039      0.29281 Placenta.Progenitor_trophoblast_Gjb3_high
Placenta.Spiral_artery_troph...      COVAR   12577     0.070963    0.0099833      0.12334      0.28254 Placenta.Spiral_artery_trophoblast_giant_cells
Placenta.Spongiotrophoblast_...1     COVAR   12577    -0.036849   -0.0065001     0.078354      0.68092 Placenta.Spongiotrophoblast_Hsd11b2_high
Placenta.Spongiotrophoblast_...2     COVAR   12577     0.084902     0.012134      0.11656       0.2332 Placenta.Spongiotrophoblast_Phlda2_high
Placenta.Stromal_cell                COVAR   12577     -0.18615    -0.019828      0.15894      0.87922 Placenta.Stromal_cell
Placenta.Stromal_cell_Acta2_...      COVAR   12577     -0.17451    -0.020617      0.12581      0.91729 Placenta.Stromal_cell_Acta2_high
Placenta.Trophoblast_progeni...      COVAR   12577    -0.075913   -0.0073897      0.11557      0.74435 Placenta.Trophoblast_progenitor_Taf7l_high
